,utterance,filtered_tokens,normalized_tokens,label_predictions
10,question: Convert -3131311 (base 4) to base 12. answer: -8271,"['question', ':', 'convert', '-3131311', '(base', '4)', 'to', 'base', '12.', 'answer', ':', '-8271']","['question', ':', ' ', 'convert', ' ', '-3131311', ' ', '(base', ' ', '4)', ' ', 'to', ' ', 'base', ' ', '12.', ' ', 'answer', ':', ' ', '-8271']","[('question', 'None'), (':', 'None'), ('convert', 'None'), ('-3131311', 'cardinal'), ('(', 'None'), ('base', 'None'), (',', 'None'), ('4', 'cardinal'), (')', 'None'), ('to', 'None'), ('base', 'None'), ('12.', 'number_digit'), ('answer', 'None'), (':', 'None'), ('-8271', 'None')]"
11,"question: Let c = 3 + -2. Suppose -2*w + 7 = -p, -5*p - 5*w + 30 = -2*w. Suppose -p*v = 8 + 7. Sort -3, c, v. answer: v, -3, c","['question', ':', 'let', 'c', '=', '3', '+', '-2.', 'suppose', '-2', '*', 'w', '+', '7', '=', '-p', ',', '-5', '*', 'p', '-', '5', '*', 'w', '+', '30', '=', '-2', '*', 'w.', 'suppose', '-p', '*', 'v', '=', '8', '+', '7.', 'sort', '-3', ',', 'c', ',', 'v.', 'answer', ':', 'v', ',', '-3', ',', 'c']","['question', ':', ' ', 'let', ' ', 'c', ' ', '=', ' ', '3', ' ', '+', ' ', '-2.', ' ', 'suppose', ' ', '-2', '*', 'w', ' ', '+', ' ', '7', ' ', '=', ' ', '-p', ',', ' ', '-5', '*', 'p', ' ', '-', ' ', '5', '*', 'w', ' ', '+', ' ', '30', ' ', '=', ' ', '-2', '*', 'w.', ' ', 'suppose', ' ', '-p', '*', 'v', ' ', '=', ' ', '8', ' ', '+', ' ', '7.', ' ', 'sort', ' ', '-3', ',', ' ', 'c', ',', ' ', 'v.', ' ', 'answer', ':', ' ', 'v', ',', ' ', '-3', ',', ' ', 'c']","[('question', 'None'), (':', 'None'), ('let', 'None'), ('c', 'characters'), ('=', 'None'), ('3', 'cardinal'), ('+', 'None'), ('-2.', 'cardinal'), ('suppose', 'None'), ('-2', 'cardinal'), ('*', 'None'), ('w', 'characters'), ('+', 'None'), ('7', 'cardinal'), ('=', 'None'), ('-p', 'None'), (',', 'None'), ('-5', 'cardinal'), ('*', 'None'), ('p', 'characters'), ('-', 'None'), ('5', 'cardinal'), ('*', 'None'), ('w', 'characters'), ('+', 'None'), ('30', 'cardinal'), ('=', 'None'), ('-2', 'cardinal'), ('*', 'None'), ('w.', 'characters'), ('suppose', 'None'), ('-p', 'characters'), ('*', 'None'), ('v', 'characters'), ('=', 'None'), ('8', 'cardinal'), ('+', 'None'), ('7.', 'cardinal'), ('sort', 'None'), ('-3', 'cardinal'), (',', 'None'), ('c', 'characters'), (',', 'None'), ('v.', 'characters'), ('answer', 'None'), (':', 'None'), ('v', 'characters'), (',', 'None'), ('-3', 'cardinal'), (',', 'None'), ('c', 'characters')]"
12,"question: Let b = 168 - 166. Sort b, -3, -165 in decreasing order. answer: b, -3, -165","['question', ':', 'let', 'b', '=', '168', '-', '166.', 'sort', 'b', ',', '-3', ',', '-165', 'in', 'decreasing', 'order.', 'answer', ':', 'b', ',', '-3', ',', '-165']","['question', ':', ' ', 'let', ' ', 'b', ' ', '=', ' ', '168', ' ', '-', ' ', '166.', ' ', 'sort', ' ', 'b', ',', ' ', '-3', ',', ' ', '-165', ' ', 'in', ' ', 'decreasing', ' ', 'order.', ' ', 'answer', ':', ' ', 'b', ',', ' ', '-3', ',', ' ', '-165']","[('question', 'None'), (':', 'None'), ('let', 'None'), ('b', 'characters'), ('=', 'None'), ('168', 'cardinal'), ('-', 'None'), ('166.', 'cardinal'), ('sort', 'None'), ('b', 'characters'), (',', 'None'), ('-3', 'cardinal'), (',', 'None'), ('-165', 'cardinal'), ('in', 'None'), ('decreasing', 'None'), ('order.', 'None'), ('answer', 'None'), (':', 'None'), ('b', 'characters'), (',', 'None'), ('-3', 'cardinal'), (',', 'None'), ('-165', 'cardinal')]"
13,"question: What is next in -104, -106, -106, -104, -100? answer: -94","['question', ':', 'what', 'is', 'next', 'in', '-104', ',', '-106', ',', '-106', ',', '-104', ',', '-100', '?', 'answer', ':', '-94']","['question', ':', ' ', 'what', ' ', 'is', ' ', 'next', ' ', 'in', ' ', '-104', ',', ' ', '-106', ',', ' ', '-106', ',', ' ', '-104', ',', ' ', '-100', '?', ' ', 'answer', ':', ' ', '-94']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('next', 'None'), ('in', 'None'), ('-104', 'cardinal'), (',', 'None'), ('-106', 'cardinal'), (',', 'None'), ('-106', 'cardinal'), (',', 'None'), ('-104', 'cardinal'), (',', 'None'), ('-100', 'cardinal'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-94', 'cardinal')]"
14,"question: What is the next term in -1094, -1214, -1336, -1460? answer: -1586","['question', ':', 'what', 'is', 'the', 'next', 'term', 'in', '-1094', ',', '-1214', ',', '-1336', ',', '-1460', '?', 'answer', ':', '-1586']","['question', ':', ' ', 'what', ' ', 'is', ' ', 'the', ' ', 'next', ' ', 'term', ' ', 'in', ' ', '-1094', ',', ' ', '-1214', ',', ' ', '-1336', ',', ' ', '-1460', '?', ' ', 'answer', ':', ' ', '-1586']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('the', 'None'), ('next', 'None'), ('term', 'None'), ('in', 'None'), ('-1094', 'cardinal'), (',', 'None'), ('-1214', 'cardinal'), (',', 'None'), ('-1336', 'cardinal'), (',', 'None'), ('-1460', 'cardinal'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-1586', 'cardinal')]"
15,"question: What is next in -134961, -269935, -404909? answer: -539883","['question', ':', 'what', 'is', 'next', 'in', '-134961', ',', '-269935', ',', '-404909', '?', 'answer', ':', '-539883']","['question', ':', ' ', 'what', ' ', 'is', ' ', 'next', ' ', 'in', ' ', '-134961', ',', ' ', '-269935', ',', ' ', '-404909', '?', ' ', 'answer', ':', ' ', '-539883']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('next', 'None'), ('in', 'None'), ('-134961', 'cardinal'), (',', 'None'), ('-269935', 'cardinal'), (',', 'None'), ('-404909', 'cardinal'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-539883', 'cardinal')]"
16,question: What is -0.0256623 rounded to 3 dps? answer: -0.026,"['question', ':', 'what', 'is', '-0.0256623', 'rounded', 'to', '3', 'dps', '?', 'answer', ':', '-0.026']","['question', ':', ' ', 'what', ' ', 'is', ' ', '-0.0256623', ' ', 'rounded', ' ', 'to', ' ', '3', ' ', 'dps', '?', ' ', 'answer', ':', ' ', '-0.026']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('-0.0256623', 'cardinal'), ('rounded', 'None'), ('to', 'None'), ('3', 'cardinal'), ('dps', 'characters'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-0.026', 'cardinal')]"
17,question: What is -0.1541326 rounded to 3 decimal places? answer: -0.154,"['question', ':', 'what', 'is', '-0.1541326', 'rounded', 'to', '3', 'decimal', 'places', '?', 'answer', ':', '-0.154']","['question', ':', ' ', 'what', ' ', 'is', ' ', '-0.1541326', ' ', 'rounded', ' ', 'to', ' ', '3', ' ', 'decimal', ' ', 'places', '?', ' ', 'answer', ':', ' ', '-0.154']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('-0.1541326', 'cardinal'), ('rounded', 'None'), ('to', 'None'), ('3', 'cardinal'), ('decimal', 'None'), ('places', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-0.154', 'cardinal')]"
18,question: Round 256953500 to the nearest 1000000. answer: 257000000,"['question', ':', 'round', '256953500', 'to', 'the', 'nearest', '1000000.', 'answer', ':', '257000000']","['question', ':', ' ', 'round', ' ', '256953500', ' ', 'to', ' ', 'the', ' ', 'nearest', ' ', '1000000.', ' ', 'answer', ':', ' ', '257000000']","[('question', 'None'), (':', 'None'), ('round', 'None'), ('256953500', 'cardinal'), ('to', 'None'), ('the', 'None'), ('nearest', 'None'), ('1000000.', 'cardinal'), ('answer', 'None'), (':', 'None'), ('257000000', 'cardinal')]"
19,"question: In base 10, what is 5 - 36333? answer: -36328","['question', ':', 'in', 'base', '10', ',', 'what', 'is', '5', '-', '36333', '?', 'answer', ':', '-36328']","['question', ':', ' ', 'in', ' ', 'base', ' ', '10', ',', ' ', 'what', ' ', 'is', ' ', '5', ' ', '-', ' ', '36333', '?', ' ', 'answer', ':', ' ', '-36328']","[('question', 'None'), (':', 'None'), ('in', 'None'), ('base', 'None'), ('10', 'cardinal'), (',', 'None'), ('what', 'None'), ('is', 'None'), ('5', 'cardinal'), ('-', 'None'), ('36333', 'number_digit'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-36328', 'number_digit')]"
20,"question: In base 16, what is -e1331 + 3? answer: -e132e","['question', ':', 'in', 'base', '16', ',', 'what', 'is', '-e1331', '+', '3', '?', 'answer', ':', '-e132e']","['question', ':', ' ', 'in', ' ', 'base', ' ', '16', ',', ' ', 'what', ' ', 'is', ' ', '-e1331', ' ', '+', ' ', '3', '?', ' ', 'answer', ':', ' ', '-e132e']","[('question', 'None'), (':', 'None'), ('in', 'None'), ('base', 'None'), ('16', 'cardinal'), (',', 'None'), ('what', 'None'), ('is', 'None'), ('-e1331', 'characters'), ('+', 'None'), ('3', 'cardinal'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-e132e', 'characters')]"
21,"question: In base 8, what is 3 - 12733? answer: -12730","['question', ':', 'in', 'base', '8', ',', 'what', 'is', '3', '-', '12733', '?', 'answer', ':', '-12730']","['question', ':', ' ', 'in', ' ', 'base', ' ', '8', ',', ' ', 'what', ' ', 'is', ' ', '3', ' ', '-', ' ', '12733', '?', ' ', 'answer', ':', ' ', '-12730']","[('question', 'None'), (':', 'None'), ('in', 'None'), ('base', 'None'), ('8', 'cardinal'), (',', 'None'), ('what', 'None'), ('is', 'None'), ('3', 'cardinal'), ('-', 'None'), ('12733', 'number_digit'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-12730', 'number_digit')]"
22,"question: What is 202598 to the power of 1/2, to the nearest integer? answer: 450","['question', ':', 'what', 'is', '202598', 'to', 'the', 'power', 'of', '1/2', ',', 'to', 'the', 'nearest', 'integer', '?', 'answer', ':', '450']","['question', ':', ' ', 'what', ' ', 'is', ' ', '202598', ' ', 'to', ' ', 'the', ' ', 'power', ' ', 'of', ' ', '1/2', ',', ' ', 'to', ' ', 'the', ' ', 'nearest', ' ', 'integer', '?', ' ', 'answer', ':', ' ', '450']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('202598', 'cardinal'), ('to', 'None'), ('the', 'None'), ('power', 'None'), ('of', 'None'), ('1/2', 'fraction'), (',', 'None'), ('to', 'None'), ('the', 'None'), ('nearest', 'None'), ('integer', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('450', 'cardinal')]"
23,"question: What is 2772926 to the power of 1/6, to the nearest integer? answer: 12","['question', ':', 'what', 'is', '2772926', 'to', 'the', 'power', 'of', '1/6', ',', 'to', 'the', 'nearest', 'integer', '?', 'answer', ':', '12']","['question', ':', ' ', 'what', ' ', 'is', ' ', '2772926', ' ', 'to', ' ', 'the', ' ', 'power', ' ', 'of', ' ', '1/6', ',', ' ', 'to', ' ', 'the', ' ', 'nearest', ' ', 'integer', '?', ' ', 'answer', ':', ' ', '12']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('2772926', 'cardinal'), ('to', 'None'), ('the', 'None'), ('power', 'None'), ('of', 'None'), ('1/6', 'fraction'), (',', 'None'), ('to', 'None'), ('the', 'None'), ('nearest', 'None'), ('integer', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('12', 'cardinal')]"
24,"question: What is 688614 to the power of 1/7, to the nearest integer? answer: 7","['question', ':', 'what', 'is', '688614', 'to', 'the', 'power', 'of', '1/7', ',', 'to', 'the', 'nearest', 'integer', '?', 'answer', ':', '7']","['question', ':', ' ', 'what', ' ', 'is', ' ', '688614', ' ', 'to', ' ', 'the', ' ', 'power', ' ', 'of', ' ', '1/7', ',', ' ', 'to', ' ', 'the', ' ', 'nearest', ' ', 'integer', '?', ' ', 'answer', ':', ' ', '7']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('688614', 'cardinal'), ('to', 'None'), ('the', 'None'), ('power', 'None'), ('of', 'None'), ('1/7', 'fraction'), (',', 'None'), ('to', 'None'), ('the', 'None'), ('nearest', 'None'), ('integer', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('7', 'cardinal')]"
25,question: Work out -6.97 + -11.66685. answer: -18.63685,"['question', ':', 'work', 'out', '-6.97', '+', '-11.66685.', 'answer', ':', '-18.63685']","['question', ':', ' ', 'work', ' ', 'out', ' ', '-6.97', ' ', '+', ' ', '-11.66685.', ' ', 'answer', ':', ' ', '-18.63685']","[('question', 'None'), (':', 'None'), ('work', 'None'), ('out', 'None'), ('-6.97', 'cardinal'), ('+', 'None'), ('-11.66685.', 'cardinal'), ('answer', 'None'), (':', 'None'), ('-18.63685', 'cardinal')]"
26,question: 1365 + 622.802 answer: 1987.802,"['question', ':', '1365', '+', '622.802', 'answer', ':', '1987.802']","['question', ':', ' ', '1365', ' ', '+', ' ', '622.802', ' ', 'answer', ':', ' ', '1987.802']","[('question', 'None'), (':', 'None'), ('1365', 'cardinal'), ('+', 'None'), ('622.802', 'cardinal'), ('answer', 'None'), (':', 'None'), ('1987.802', 'cardinal')]"
27,question: What is -1.9 minus 1595966356? answer: -1595966357.9,"['question', ':', 'what', 'is', '-1.9', 'minus', '1595966356', '?', 'answer', ':', '-1595966357.9']","['question', ':', ' ', 'what', ' ', 'is', ' ', '-1.9', ' ', 'minus', ' ', '1595966356', '?', ' ', 'answer', ':', ' ', '-1595966357.9']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('-1.9', 'cardinal'), ('minus', 'None'), ('1595966356', 'cardinal'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-1595966357.9', 'cardinal')]"
28,question: What is 0.6762882l in millilitres? answer: 676.2882,"['question', ':', 'what', 'is', '0.6762882l', 'in', 'millilitres', '?', 'answer', ':', '676.2882']","['question', ':', ' ', 'what', ' ', 'is', ' ', '0.6762882l', ' ', 'in', ' ', 'millilitres', '?', ' ', 'answer', ':', ' ', '676.2882']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('0.6762882l', 'unit'), ('in', 'None'), ('millilitres', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('676.2882', 'cardinal')]"
29,question: What is 1.975706cm in micrometers? answer: 19757.06,"['question', ':', 'what', 'is', '1.975706cm', 'in', 'micrometers', '?', 'answer', ':', '19757.06']","['question', ':', ' ', 'what', ' ', 'is', ' ', '1.975706cm', ' ', 'in', ' ', 'micrometers', '?', ' ', 'answer', ':', ' ', '19757.06']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('1.975706cm', 'unit'), ('in', 'None'), ('micrometers', 'None'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('19757.06', 'cardinal')]"
30,question: How many millimeters are there in 46/5 of a centimeter? answer: 92,"['question', ':', 'how', 'many', 'millimeters', 'are', 'there', 'in', '46/5', 'of', 'a', 'centimeter', '?', 'answer', ':', '92']","['question', ':', ' ', 'how', ' ', 'many', ' ', 'millimeters', ' ', 'are', ' ', 'there', ' ', 'in', ' ', '46/5', ' ', 'of', ' ', 'a', ' ', 'centimeter', '?', ' ', 'answer', ':', ' ', '92']","[('question', 'None'), (':', 'None'), ('how', 'None'), ('many', 'None'), ('millimeters', 'unit'), ('are', 'None'), ('there', 'None'), ('in', 'None'), ('46/5', 'fraction'), ('of', 'None'), ('a', 'None'), ('centimeter', 'unit'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('92', 'cardinal')]"
31,question: What is the product of 862.677 and -0.4? answer: -345.0708,"['question', ':', 'what', 'is', 'the', 'product', 'of', '862.677', 'and', '-0.4', '?', 'answer', ':', '-345.0708']","['question', ':', ' ', 'what', ' ', 'is', ' ', 'the', ' ', 'product', ' ', 'of', ' ', '862.677', ' ', 'and', ' ', '-0.4', '?', ' ', 'answer', ':', ' ', '-345.0708']","[('question', 'None'), (':', 'None'), ('what', 'None'), ('is', 'None'), ('the', 'None'), ('product', 'None'), ('of', 'None'), ('862.677', 'cardinal'), ('and', 'None'), ('-0.4', 'cardinal'), ('?', 'None'), ('answer', 'None'), (':', 'None'), ('-345.0708', 'cardinal')]"
32,question: Calculate 42*-0.1479. answer: -6.2118,"['question', ':', 'calculate', '42', '*', '-0.1479.', 'answer', ':', '-6.2118']","['question', ':', ' ', 'calculate', ' ', '42', '*', '-0.1479.', ' ', 'answer', ':', ' ', '-6.2118']","[('question', 'None'), (':', 'None'), ('calculate', 'None'), ('42', 'cardinal'), ('*', 'None'), ('-0.1479.', 'cardinal'), ('answer', 'None'), (':', 'None'), ('-6.2118', 'cardinal')]"
33,question: Multiply 683391 and -0.05. answer: -34169.55,"['question', ':', 'multiply', '683391', 'and', '-0.05.', 'answer', ':', '-34169.55']","['question', ':', ' ', 'multiply', ' ', '683391', ' ', 'and', ' ', '-0.05.', ' ', 'answer', ':', ' ', '-34169.55']","[('question', 'None'), (':', 'None'), ('multiply', 'None'), ('683391', 'number_digit'), ('and', 'None'), ('-0.05.', 'cardinal'), ('answer', 'None'), (':', 'None'), ('-34169.55', 'cardinal')]"
